Id,Name,IdentityNumber,PhoneNumber,Email,CustomerType
1,Iakob Qobalia,31024852345,555337681,Iakob.Qobalia@gmail.com,Phyisical
2,Beso Gurgenidze,56007853214,551447788,Beso.Gurgenidze@gmail.com,Phyisical
3,Zaal Khurtsilava,12358795143,551447851,Zaal.Khurtsilava@gmail.com,Phyisical
4,Otar Jughashvili,65874147985,559995412,Otar.Jughashvili@gmail.com,Phyisical
5,Nani Chavchavadze,31008749621,599933592,Nani.Chavchanidze@gmail.com,Phyisical
6,Darejan Diasamidze,89124769534,551785495,Darejan.Diasamidze@gmail.com,Phyisical
7,Andria Shengelia,87456974125,593742003,Andria.Shengelia@gmail.com,Phyisical
8,Sopi Jishkariani,25469835473,551718814,Sofi.Jishkariani@gmail.com,Phyisical
9,LTD Tegeta Motors,21368459,555998877,info@Tegeta.ge,Legal
10,LTD IT Academy STEP,58746789,557899886,info@itstep.ge,Legal
11,LTD IT Academy STEP,58746789,557899886,info@itstep.ge,Legal
